match_id,season,date_time,home_team,away_team,stadium,home_team_score,away_team_score,penalty_shoot_out,attendance
231,2020-2021,2021-03-09,Borussia Dortmund,Sevilla FC,Signal Iduna Park,2,2,0,0
232,2020-2021,2021-03-10,Liverpool FC,RB Leipzig,Puskás Aréna,2,0,0,0
233,2020-2021,2021-03-10,Paris Saint-Germain,FC Barcelona,Parc des Princes,1,1,0,0
234,2020-2021,2021-03-16,Manchester City,Bor. Mönchengladbach,Puskás Aréna,2,0,0,0
235,2020-2021,2021-03-16,Real Madrid,Atalanta,Alfredo Di Stéfano,3,1,0,0
236,2020-2021,2021-03-17,Bayern München,Lazio Roma,Allianz Arena,2,1,0,0
237,2020-2021,2021-03-17,Chelsea FC,Atlético Madrid,Stamford Bridge,2,0,0,0
238,2020-2021,2021-04-06,Manchester City,Borussia Dortmund,Etihad Stadium,2,1,0,0
239,2020-2021,2021-04-06,Real Madrid,Liverpool FC,Alfredo Di Stéfano,3,1,0,0
240,2020-2021,2021-04-07,FC Porto,Chelsea FC,Ramón Sánchez Pizjuán,0,2,0,0
241,2020-2021,2021-04-07,Bayern München,Paris Saint-Germain,Allianz Arena,2,3,0,0
242,2020-2021,2021-04-13,Chelsea FC,FC Porto,Ramón Sánchez Pizjuán,0,1,0,0
243,2020-2021,2021-04-13,Paris Saint-Germain,Bayern München,Parc des Princes,0,1,0,0
244,2020-2021,2021-04-14,Borussia Dortmund,Manchester City,Signal Iduna Park,1,2,0,0
245,2020-2021,2021-04-14,Liverpool FC,Real Madrid,Anfield,0,0,0,0
246,2020-2021,2021-04-27,Real Madrid,Chelsea FC,Alfredo Di Stéfano,1,1,0,0
247,2020-2021,2021-04-28,Paris Saint-Germain,Manchester City,Parc des Princes,1,2,0,0
248,2020-2021,2021-05-04,Manchester City,Paris Saint-Germain,Etihad Stadium,2,0,0,0
249,2020-2021,2021-05-05,Chelsea FC,Real Madrid,Stamford Bridge,2,0,0,0
250,2020-2021,2021-05-29,Manchester City,Chelsea FC,Estádio do Dragão,0,1,0,14110
251,2019-2020,2019-09-18,Club Brugge KV,Galatasaray,Jan Breydel Stadion,0,0,0,26616
252,2019-2020,2019-09-18,Paris Saint-Germain,Real Madrid,Parc des Princes,3,0,0,46361
253,2019-2020,2019-10-01,Real Madrid,Club Brugge KV,Santiago Bernabéu,2,2,0,65112
254,2019-2020,2019-10-01,Galatasaray,Paris Saint-Germain,Nef Stadyumu,0,1,0,46532
255,2019-2020,2019-10-22,Club Brugge KV,Paris Saint-Germain,Jan Breydel Stadion,0,5,0,26946
256,2019-2020,2019-10-22,Galatasaray,Real Madrid,Nef Stadyumu,0,1,0,48886
257,2019-2020,2019-11-06,Paris Saint-Germain,Club Brugge KV,Parc des Princes,1,0,0,47418
258,2019-2020,2019-11-06,Real Madrid,Galatasaray,Santiago Bernabéu,6,0,0,65492
259,2019-2020,2019-11-26,Galatasaray,Club Brugge KV,Nef Stadyumu,1,1,0,34500
260,2019-2020,2019-11-26,Real Madrid,Paris Saint-Germain,Santiago Bernabéu,2,2,0,75534
261,2019-2020,2019-12-11,Paris Saint-Germain,Galatasaray,Parc des Princes,5,0,0,46509
262,2019-2020,2019-12-11,Club Brugge KV,Real Madrid,Jan Breydel Stadion,1,3,0,27308
263,2019-2020,2019-09-18,Olympiakos Piraeus,Tottenham Hotspur,Georgios Karaiskakis,2,2,0,31001
264,2019-2020,2019-09-18,Bayern München,Crvena Zvezda,Allianz Arena,3,0,0,70000
265,2019-2020,2019-10-01,Tottenham Hotspur,Bayern München,Tottenham Hotspur Stadium,2,7,0,60127
266,2019-2020,2019-10-01,Crvena Zvezda,Olympiakos Piraeus,Marakana,3,1,0,43291
267,2019-2020,2019-10-22,Tottenham Hotspur,Crvena Zvezda,Tottenham Hotspur Stadium,5,0,0,51743
268,2019-2020,2019-10-22,Olympiakos Piraeus,Bayern München,Georgios Karaiskakis,2,3,0,31670
269,2019-2020,2019-11-06,Bayern München,Olympiakos Piraeus,Allianz Arena,2,0,0,63646
270,2019-2020,2019-11-06,Crvena Zvezda,Tottenham Hotspur,Marakana,0,4,0,42381
271,2019-2020,2019-11-26,Tottenham Hotspur,Olympiakos Piraeus,Tottenham Hotspur Stadium,4,2,0,57024
272,2019-2020,2019-11-26,Crvena Zvezda,Bayern München,Marakana,0,6,0,44118
273,2019-2020,2019-12-11,Bayern München,Tottenham Hotspur,Allianz Arena,3,1,0,66353
274,2019-2020,2019-12-11,Olympiakos Piraeus,Crvena Zvezda,Georgios Karaiskakis,1,0,0,31898
275,2019-2020,2019-09-18,Shakhtar Donetsk,Manchester City,Metalist Stadion,0,3,0,36675
